DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0
01/01/2021,01-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,Nov-Feb,Winter,1
,02-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,Mar-Jun,Summer,2
,03-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,,,
,04-00,11.3,130,0.96,2442.60733086593,0,1,78,49,,,,,,Weekend,1,
,05-00,11.2,148,0.96,2756.20552188112,0,1,78,49,,,,,,Weekday,0,
,06-00,11.2,172,0.96,3203.15776867266,0,1,78,49,,,,,,Missing Values,66,
,07-00,11.5,218,0.96,4168.56131959217,0,1,83,34,,,,,,,,
,08-00,11.2,274,0.96,5102.70481753668,0,1,83,34,,,,,,,,
,09-00,11.2,280,0.96,5214.44287923456,0,1,83,34,,,,,,,,
,10-00,11.5,254,0.96,4856.94759255234,0,1,81,42,,,,,,,,
,11-00,11.5,254,0.96,4856.94759255234,0,1,81,42,,,,,,,,
,12-00,11.5,243,0.96,4646.60734248118,0,1,81,42,,,,,,,,
,13-00,11.6,231,0.96,4455.5552102031,0,1,71,42,,,,,,,,
,14-00,11.8,214,0.96,4198.82371130201,0,1,71,87,,,,,,,,
,15-00,11.8,205,0.96,4022.23766736875,0,1,71,87,,,,,,,,
,16-00,11.7,215,0.96,4182.69485418193,0,1,67,87,,,,,,,,
,17-00,11.5,194,0.96,3709.63713761872,0,1,67,87,,,,,,,,
,18-00,11.7,44,0.96,855.993365507,0,1,67,87,,,,,,,,
,19-00,11.8,42,0.96,824.06820502189,0,1,66,88,,,,,,,,
,20-00,11.8,39,0.96,765.206190377469,0,1,66,88,,,,,,,,
,21-00,11.8,30,0.96,588.620146444207,0,1,66,88,,,,,,,,
,22-00,11.8,25,0.96,490.516788703506,0,1,62,89,,,,,,,,
,23-00,11.8,22,0.96,431.654774059085,0,1,62,89,,,,,,,,
,24-00,11.8,21,0.96,412.034102510945,0,1,62,89,,,,,,,,
01/02/2021,01-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,02-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,03-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,04-00,11.5,100,0.95,1892.265507269,0,1,78,48,,,,,,,,
,05-00,11.4,135,0.95,2532.34488320608,0,1,78,48,,,,,,,,
,06-00,11.3,162,0.95,3012.15759791881,0,1,78,48,,,,,,,,
,07-00,11.5,213,0.95,4030.52553048297,0,1,83,32,,,,,,,,
,08-00,11.3,257,0.95,4778.54631274774,0,1,83,32,,,,,,,,
,09-00,11.3,258,0.95,4797.13987816699,0,1,83,32,,,,,,,,
,10-00,11.3,262,0.95,4871.514139844,0,1,80,38,,,,,,,,
,11-00,11.5,260,0.95,4919.89031889939,0,1,80,38,,,,,,,,
,12-00,11.6,256,0.95,4886.32317424871,0,1,80,38,,,,,,,,
,13-00,11.9,221,0.95,4327.36439788412,0,1,71,73,,,,,,,,
,14-00,11.6,225,0.95,4294.61997736703,0,1,71,73,,,,,,,,
,15-00,11.7,222,0.95,4273.88732920043,0,1,71,73,,,,,,,,
,16-00,11.7,208,0.95,4004.36290303464,0,1,67,88,,,,,,,,
,17-00,11.9,190,0.95,3720.35853211757,0,1,67,88,,,,,,,,
,18-00,11.7,46,0.95,885.580257401891,0,1,67,88,,,,,,,,
,19-00,11.8,43,0.95,834.900450772426,0,1,66,88,,,,,,,,
,20-00,11.8,40,0.95,776.651582113885,0,1,66,88,,,,,,,,
,21-00,11.8,34,0.95,660.153844796802,0,1,66,88,,,,,,,,
,22-00,11.8,26,0.95,504.823528374025,0,1,62,89,,,,,,,,
,23-00,11.8,23,0.950000000000001,446.574659715484,0,1,62,89,,,,,,,,
,24-00,11.6,114,0.950000000000001,2175.94078853263,0,1,62,89,,,,,,,,
01/03/2021,01-00,11.8,114,0.96,2236.75655648799,1,1,65,92,,,,,,,,
,02-00,11.8,114,0.96,2236.75655648799,1,1,65,92,,,,,,,,
,03-00,11.8,120,0.96,2354.48058577683,1,1,65,92,,,,,,,,
,04-00,11.8,128,0.96,2511.44595816195,1,1,77,52,,,,,,,,
,05-00,11.8,143,0.96,2805.75603138405,1,1,77,52,,,,,,,,
,06-00,11.5,168,0.96,3212.46927381415,1,1,77,52,,,,,,,,
,07-00,11.6,233,0.96,4494.13144578927,1,1,82,33,,,,,1,,,
,08-00,11.4,290,0.96,5497.1135710298,1,1,82,33,,,,,1,,,
,09-00,11.3,266,0.96,4997.95038469491,1,1,82,33,1,,,,,,,
,10-00,11.4,279,0.96,5288.60236661143,1,1,80,41,,,,,,,,
,11-00,11.4,272,0.96,5155.91341834519,1,1,80,41,,,,,,,,
,12-00,11.7,266,0.96,5174.86898238323,1,1,80,41,,,,,,,,
,13-00,11.8,254,0.96,4983.65057322762,1,1,71,76,,,,,,,,
,14-00,11.8,254,0.96,4983.65057322762,1,1,71,76,,,,,,,,
,15-00,11.8,242,0.96,4748.20251464994,1,1,71,76,,,,,,,,
,16-00,11.2,230,0.96,4283.29236508553,1,1,68,85,,,,,,,,
,17-00,11.5,181,0.96,3461.05320571643,1,1,68,85,,,,,,,,
,18-00,11.6,43,0.96,829.389065102742,1,1,68,85,,,,,,,,
,19-00,11.7,43,0.96,836.538970836386,1,1,64,89,,,,,,,,
,20-00,11.7,39,0.96,758.721392153931,1,1,64,89,,,,,,,,
,21-00,11.7,35,0.96,680.903813471477,1,1,64,89,,,,,,,,
,22-00,11.8,29,0.96,568.999474896067,1,1,67,88,,,,,,,,
,23-00,11.8,22,0.96,431.654774059085,1,1,67,88,,,,,,,,
,24-00,11.8,22,0.96,431.654774059085,1,1,67,88,,,,,,,,
01/04/2021,01-00,11.8,114,0.97,2260.0561039514,0,1,68,88,,,,,,,,
,02-00,11.8,114,0.97,2260.0561039514,0,1,68,88,,,,,,,,
,03-00,11.8,114,0.97,2260.0561039514,0,1,68,88,,,,,,,,
,04-00,11.7,130,0.97,2555.41579996289,0,1,77,54,,,,,,,,
,05-00,11.6,146,0.97,2845.39921026769,0,1,77,54,,,,,,,,
,06-00,11.5,159,0.97,3072.0432545905,0,1,77,54,,,,,,,,
,07-00,11.6,250,0.97,4872.25892169125,0,1,83,32,,,,,,,,
,08-00,11.6,262,0.97,5106.12734993243,0,1,83,32,,,,,,,,
,09-00,11.6,262,0.97,5106.12734993243,0,1,83,32,,,,,,,,
,10-00,11.6,269,0.97,5242.55059973979,0,1,80,35,,,,,,,,
,11-00,11.8,250,0.97,4956.26338585834,0,1,80,35,,,,,,,,
,12-00,11.7,227,0.97,4462.14912762752,0,1,80,35,,,,,,,,
,13-00,11.7,220,0.97,4324.54981532182,0,1,72,70,,,,,,,,
,14-00,11.4,210,0.97,4022.1337443203,0,1,72,70,,,,,,,,
,15-00,11.4,220,0.97,4213.66392262126,0,1,72,70,,,1,,,,,
,16-00,11.2,226,0.97,4252.64199399479,0,1,68,83,,,,,,,,
,17-00,11.3,218,0.97,4138.73194058422,0,1,68,83,,,,,,,,
,18-00,11.6,42,0.97,818.53949884413,0,1,68,83,,,,,,,,
,19-00,11.6,42,0.97,818.53949884413,0,1,66,88,,,,,,,,
,20-00,11.8,41,0.97,812.827195280768,0,1,66,88,,,,,,,,
,21-00,11.8,33,0.97,654.226766933301,0,1,66,88,,,,,,,,
,22-00,11.8,26,0.97,515.451392129268,0,1,63,87,,,,,,,,
,23-00,11.8,23,0.97,455.976231498968,0,1,63,87,,,,,,,,
,24-00,11.7,106,0.97,2083.64672920051,0,1,63,87,,,,,,,,
01/05/2021,01-00,11.7,106,0.96,2062.16583508504,0,1,66,90,,,,,,,,
,02-00,11.7,106,0.96,2062.16583508504,0,1,66,90,,,,,,,,
,03-00,11.7,106,0.96,2062.16583508504,0,1,66,90,,,,,,,,
,04-00,11.5,120,0.96,2294.62090986725,0,1,80,40,,,,,,,,
,05-00,11.4,143,0.96,2710.64565743883,0,1,80,40,,,,,,,,
,06-00,11.8,162,0.96,3178.54879079872,0,1,80,40,,,,,,,,
,07-00,11.3,230,0.96,4321.53604691665,0,1,83,32,,,,,,,,
,08-00,11.4,271,0.96,5136.95785430716,0,1,83,32,,,,,,,,
,09-00,11.4,284,0.96,5383.3801868016,0,1,83,32,,,,,,,,
,10-00,11.6,244,0.96,4706.30074151323,0,1,81,38,,,,,,,,
,11-00,11.6,253,0.96,4879.89380165101,0,1,81,38,,,,,,,,
,12-00,11.6,249,0.96,4802.74133047867,0,1,81,38,,,,,,,,
,13-00,11.7,241,0.96,4688.50911561788,0,1,72,69,,,,,,,,
,14-00,11.7,234,0.96,4552.32835292359,0,1,72,69,,,,,,,,
,15-00,11.7,234,0.96,4552.32835292359,0,1,72,69,,,,,,,,
,16-00,11.8,223,0.96,4375.40975523527,0,1,71,78,,,,,,,,
,17-00,11.7,205,0.96,3988.15090747579,0,1,71,78,,,,,,,,
,18-00,11.6,41,0.96,790.812829516568,0,1,71,78,,,,,,,,
,19-00,11.6,43,0.96,829.389065102742,0,1,65,88,,,,,,,,
,20-00,11.6,41,0.96,790.812829516568,0,1,65,88,,,,,,,,
,21-00,11.7,32,0.96,622.540629459636,0,1,65,88,,,,,,,,
,22-00,11.7,26,0.96,505.814261435954,0,1,69,85,,,,,,,,
,23-00,11.7,26,0.96,505.814261435954,0,1,69,85,,,,,,,,
,24-00,11.6,106,0.96,2044.54048606722,0,1,69,85,,,,,,,,
01/06/2021,01-00,11.6,106,0.94,2001.94589260749,0,1,73,86,,,,,,,,
,02-00,11.6,106,0.94,2001.94589260749,0,1,73,86,,,,,,,,
,03-00,11.6,106,0.94,2001.94589260749,0,1,73,86,,,,,,,,
,04-00,11.4,117,0.94,2171.59680510725,0,1,80,56,,,,,,,,
,05-00,11.1,139,0.94,2512.03831953814,0,1,80,56,,,,,,,,
,06-00,11.3,186,0.94,3421.99892410737,0,1,80,56,,,,,,,,
,07-00,11.4,241,0.94,4473.11820539185,0,1,81,55,,,,,,,,
,08-00,11.4,271,0.94,5029.93789900909,0,1,81,55,,,,,,,,
,09-00,11.4,276,0.94,5122.74118127863,0,1,81,55,,,,,,,,
,10-00,11.6,265,0.94,5004.86473151872,0,1,80,59,,,,,,,,
,11-00,11.6,257,0.94,4853.77447547288,0,1,80,59,,,,,,,,
,12-00,11.6,257,0.94,4853.77447547288,0,1,80,59,,,,,,,,
,13-00,11.6,249,0.94,4702.68421942703,0,1,76,74,,,,,,,,
,14-00,11.8,191,0.94,3669.47434349281,0,1,76,74,,,,,,,,
,15-00,11.6,182,0.94,3437.30332504305,0,1,76,74,,,,,,,,
,16-00,11.6,182,0.94,3437.30332504305,0,1,74,79,,,,,,,,
,17-00,11.8,191,0.94,3669.47434349281,0,1,74,79,,,,,,,,
,18-00,11.8,40,0.94,768.476302302159,0,1,74,79,,,,,,,,
,19-00,11.8,40,0.94,768.476302302159,0,1,70,83,,,,,,,,
,20-00,11.8,39,0.94,749.264394744605,0,1,70,83,,,,,,,,
,21-00,11.8,32,0.94,614.781041841728,0,1,70,83,,,,,,,,
,22-00,11.8,26,0.94,499.509596496404,0,1,72,89,,,,,,,,
,23-00,11.8,26,0.94,499.509596496404,0,1,72,89,,,,,,,,
,24-00,11.8,97,0.94,1863.55503308274,0,1,72,89,,,,,,,,
01/07/2021,01-00,11.8,97,0.98,1942.85524725647,0,1,71,89,,,,,,,,
,02-00,11.8,97,0.98,1942.85524725647,0,1,71,89,,,,,,,,
,03-00,11.8,97,0.98,1942.85524725647,0,1,71,89,,,,,,,,
,04-00,11.8,97,0.98,1942.85524725647,0,1,72,87,,,,,,,,
,05-00,11.7,117,0.98,2323.58426347142,0,1,72,87,,,,,,,,
,06-00,11.6,167,0.98,3288.22224793398,0,1,72,87,,,,,,,,
,07-00,11.5,215,0.98,4196.84570927977,0,1,77,68,,,,,,,,
,08-00,11.5,243,0.98,4743.4116621162,0,1,77,68,,,,,,,,
,09-00,11.5,239,0.98,4665.330811711,0,1,77,68,,,,,,,,
,10-00,11.5,241,0.98,4704.3712369136,0,1,78,67,,,,,,,,
,11-00,11.7,224,0.98,4448.57158134698,0,1,78,67,,,,,,,,
,12-00,11.3,100,0.98,1918.07306430177,0,1,78,67,,,,,,,,
,13-00,11.6,175,0.98,3445.74187657752,0,1,74,79,,,,,,,,
,14-00,11.5,180,0.98,3513.63826823422,0,1,74,79,,,,,,,,
,15-00,11.6,170,0.98,3347.29210867531,0,1,74,79,,,,,,,,
,16-00,11.7,175,0.98,3475.44654792733,0,1,73,83,,,1,,,,,
,17-00,11.7,166,0.98,3296.70929689107,0,1,73,83,,,,,,,,
,18-00,11.7,42,0.98,834.107171502559,0,1,73,83,,,,,,,,
,19-00,11.8,44,0.98,881.295163703966,0,1,73,84,,,,,,,,
,20-00,11.8,44,0.98,881.295163703966,0,1,73,84,,,,,,,,
,21-00,11.8,38,0.98,761.118550471607,0,1,73,84,,,,,,,,
,22-00,11.8,30,0.98,600.883066161795,0,1,72,86,,,,,,,,
,23-00,11.8,27,0.98,540.794759545615,0,1,72,86,,,,,,,,
,24-00,11.8,94,0.98,1882.76694064029,0,1,72,86,,,,,,,,
01/08/2021,01-00,11.8,94,0.97,1863.55503308274,0,1,74,89,,,,,,,,
,02-00,11.8,94,0.97,1863.55503308274,0,1,74,89,,,,,,,,
,03-00,11.8,94,0.97,1863.55503308274,0,1,74,89,,,,,,,,
,04-00,11.8,94,0.97,1863.55503308274,0,1,81,47,,,,,,,,
,05-00,11.5,134,0.97,2589.01758562973,0,1,81,47,,,,,,,,
,06-00,11.5,162,0.97,3130.00633486579,0,1,81,47,,,,,,,,
,07-00,11.5,220,0.97,4250.62588685478,0,1,85,32,,,,,,,,
,08-00,11.6,259,0.97,5047.66024287214,0,1,85,32,,,,,,,,
,09-00,11.6,250,0.97,4872.25892169125,0,1,85,32,,,,,,,,
,10-00,11.8,259,0.97,5134.68886774924,0,1,83,35,,,,,,,,
,11-00,11.9,219,0.97,4378.48068131709,0,1,83,35,,,,,,,,
,12-00,11.6,210,0.97,4092.69749422065,0,1,83,35,,,,,,,,
,13-00,11.6,211,0.97,4112.18652990742,0,1,75,69,,,,,,,,
,14-00,11.3,207,0.97,3929.89684266483,0,1,75,69,,,,,,,,
,15-00,11.3,207,0.97,3929.89684266483,0,1,75,69,,,,,,,,
,16-00,11.3,206,0.97,3910.91183376307,0,1,72,84,,,,,,,,
,17-00,11.3,204,0.97,3872.94181595954,0,1,72,84,,,,,,,,
,18-00,11.8,45,0.97,892.127409454502,0,1,72,84,,,,,,,,
,19-00,11.8,47,0.97,931.777516541368,0,1,72,84,,,,,,,,
,20-00,11.8,46,0.97,911.952462997935,0,1,72,84,,,,,,,,
,21-00,11.8,45,0.97,892.127409454502,0,1,72,84,,,,,,,,
,22-00,11.8,40,0.97,793.002141737335,0,1,64,87,,,,,,,,
,23-00,11.8,36,0.97,713.701927563601,0,1,64,87,,,,,,,,
,24-00,11.8,96,0.97,1903.2051401696,0,1,64,87,,,,,,,,
01/09/2021,01-00,11.8,100,0.97,1982.50535434334,0,1,67,90,,,,,,,,
,02-00,11.8,100,0.97,1982.50535434334,0,1,67,90,,,,,,,,
,03-00,11.8,102,0.97,2022.1554614302,0,1,67,90,,,,,,,,
,04-00,11.7,103,0.97,2024.67559535522,0,1,81,30,,,,,,,,
,05-00,11.4,136,0.97,2604.81042489314,0,1,81,30,,,,,,,,
,06-00,11.2,198,0.97,3725.7659947388,0,1,81,30,,,,,,,,
,07-00,11.4,238,0.97,4558.418243563,0,1,87,22,,,,,,,,
,08-00,11.4,268,0.97,5133.0087784659,0,1,87,22,,,,,,,,
,09-00,11.5,284,0.97,5487.17159939435,0,1,87,22,,,,,,,,
,10-00,11.5,248,0.97,4791.61463609084,0,1,84,25,1,,,,,,,
,11-00,11.7,234,0.97,4599.74843993321,0,1,84,25,1,,,,,,,
,12-00,11.5,281,0.97,5429.20851911906,0,1,84,25,,,,,,,,
,13-00,11.2,279,0.97,5249.94299258649,0,1,73,59,,,,,,,,
,14-00,11.4,276,0.97,5286.23292110667,0,1,73,59,,,,,,,,
,15-00,11.4,271,0.97,5190.46783195619,0,1,73,59,,,,,,,,
,16-00,11.4,271,0.97,5190.46783195619,0,1,69,78,,,,,,,,
,17-00,11.6,271,0.97,5281.52867111332,0,1,69,78,,,,,,,,
,18-00,11.5,168,0.97,3245.93249541638,0,1,69,78,,,,,,,,
,19-00,11.7,131,0.97,2575.07284457799,0,1,69,87,,,,,,,,
,20-00,11.8,118,0.97,2339.35631812514,0,1,69,87,,,,,,,,
,21-00,11.9,105,0.97,2099.27155953559,0,1,69,87,,,,,,,,
,22-00,11.8,102,0.97,2022.1554614302,0,1,64,86,,,,,,,,
,23-00,11.8,102,0.97,2022.1554614302,0,1,64,86,,,,,,,,
,24-00,11.8,100,0.97,1982.50535434334,0,1,64,86,,,,,,,,
01/10/2021,01-00,11.8,98,0.96,1922.82581171774,1,1,67,87,,,,,,,,
,02-00,11.8,98,0.96,1922.82581171774,1,1,67,87,,,,,,,,
,03-00,11.8,98,0.96,1922.82581171774,1,1,67,87,,,,,,,,
,04-00,11.8,98,0.96,1922.82581171774,1,1,82,36,,,,,,,,
,05-00,11.6,143,0.96,2758.20084441144,1,1,82,36,,,,,,,,
,06-00,11.2,186,0.96,3463.87991263439,1,1,82,36,,,,,,,,
,07-00,11.7,211,0.96,4104.87727549947,1,1,88,25,,,,,,,,
,08-00,11.4,274,0.96,5193.82454642126,1,1,88,25,,,,,,,,
,09-00,11.3,276,0.96,5185.84325629998,1,1,88,25,,,,,,,,
,10-00,11.6,102,0.96,1967.38801489488,1,1,84,26,,,,,,,,
,11-00,11.2,104,0.96,1936.79306942998,1,1,84,26,,,,,,,,
,12-00,11.6,255,0.96,4918.47003723719,1,1,84,26,,,,,,,,
,13-00,11.6,273,0.96,5265.65615751276,1,1,74,61,,,,,,,,
,14-00,11.2,288,0.96,5363.4269614984,1,1,74,61,,,,,,,,
,15-00,11.5,233,0.96,4455.38893332557,1,1,74,61,1,,,,,,,
,16-00,11.2,272,0.96,5065.45879697071,1,1,71,76,,,,,,,,
,17-00,11.3,258,0.96,4847.63608741085,1,1,71,76,,,,,,,,
,18-00,11.7,166,0.96,3229.42951532186,1,1,71,76,,,,,,,,
,19-00,11.8,45,0.96,882.930219666311,1,1,65,86,,,,,,,,
,20-00,11.8,46,0.96,902.550891214451,1,1,65,86,,,,,,,,
,21-00,11.8,45,0.96,882.930219666311,1,1,65,86,,,,,,,,
,22-00,11.8,35,0.96,686.723504184908,1,1,65,88,,,,,,,,
,23-00,11.8,27,0.96,529.758131799787,1,1,65,88,,,,,,,,
,24-00,11.8,99,0.96,1942.44648326588,1,1,65,88,,,,,,,,
01/11/2021,01-00,11.8,99,0.97,1962.6803007999,0,1,68,87,,,,,,,,
,02-00,11.8,99,0.97,1962.6803007999,0,1,68,87,,,,,,,,
,03-00,11.8,99,0.97,1962.6803007999,0,1,68,87,,,,,,,,
,04-00,11.8,99,0.97,1962.6803007999,0,1,79,49,,,,,,,,
,05-00,11.6,150,0.97,2923.35535301475,0,1,79,49,,,,,,,,
,06-00,11.4,175,0.97,3351.77812026691,0,1,79,49,,,,,,,,
,07-00,11.6,228,0.97,4443.50013658242,0,1,85,27,,,,,,,,
,08-00,11.2,280,0.97,5268.75999255992,0,1,85,27,,,,,,,,
,09-00,11.2,295,0.97,5551.01499216134,0,1,85,27,,,,,,,,
,10-00,11.3,237,0.97,4499.4471097177,0,1,83,43,,,,,,,,
,11-00,11.5,249,0.97,4810.93566284928,0,1,83,43,,,,,,,,
,12-00,11.5,248,0.97,4791.61463609084,0,1,83,43,,,,,,,,
,13-00,11.7,233,0.97,4580.09139531811,0,1,73,71,,,,,,,,
,14-00,11.5,215,0.97,4154.02075306263,0,1,73,71,,,,,,,,
,15-00,11.5,252,0.97,4868.89874312457,0,1,73,71,1,,,,,,,
,16-00,11.5,227,0.97,4385.8730741638,0,1,71,76,,,,,,,,
,17-00,11.3,226,0.97,4290.61201179832,0,1,71,76,,,,,,,,
,18-00,11.8,159,0.97,3152.18351340591,0,1,71,76,,,,,,,,
,19-00,11.8,48,0.97,951.602570084802,0,1,68,83,,,,,,,,
,20-00,11.8,42,0.97,832.652248824202,0,1,68,83,,,,,,,,
,21-00,11.8,41,0.97,812.827195280768,0,1,68,83,,,,,,,,
,22-00,11.8,33,0.97,654.226766933301,0,1,67,88,,,,,,,,
,23-00,11.8,26,0.97,515.451392129268,0,1,67,88,,,,,,,,
,24-00,11.8,100,0.97,1982.50535434334,0,1,67,88,,,,,,,,
01/12/2021,01-00,11.8,100,0.97,1982.50535434334,0,1,68,92,,,,,,,,
,02-00,11.6,102,0.97,1987.88164005003,0,1,68,92,,,,,,,,
,03-00,11.6,105,0.97,2046.34874711033,0,1,68,92,,,,,,,,
,04-00,11.5,107,0.97,2067.3498631521,0,1,77,56,,,,,,,,
,05-00,11.4,158,0.97,3026.17681715527,0,1,77,56,,,,,,,,
,06-00,11.2,181,0.97,3405.87699519052,0,1,77,56,,,,,,,,
,07-00,11.5,223,0.97,4308.58896713007,0,1,82,44,,,,,,,,
,08-00,11.2,268,0.97,5042.95599287878,0,1,82,44,,,,,,,,
,09-00,11.3,289,0.97,5486.66757260935,0,1,82,44,,,,,,,,
,10-00,11.4,241,0.97,4615.87729705329,0,1,81,54,,,,,,,,
,11-00,11.4,248,0.97,4749.94842186397,0,1,81,54,,,,,,,,
,12-00,11.6,243,0.97,4735.8356718839,0,1,81,54,,,,,,,,
,13-00,11.6,243,0.97,4735.8356718839,0,1,69,78,,,,,,,,
,14-00,11.6,232,0.97,4521.45627932948,0,1,69,78,,,,,,,,
,15-00,11.7,232,0.97,4560.43435070301,0,1,69,78,,,,,,,,
,16-00,11.8,226,0.97,4480.46210081594,0,1,70,83,,,,,,,,
,17-00,11.8,212,0.97,4202.91135120787,0,1,70,83,,,,,,,,
,18-00,11.8,43,0.97,852.477302367635,0,1,70,83,,,,,,,,
,19-00,11.8,42,0.97,832.652248824202,0,1,69,85,,,,,,,,
,20-00,11.8,40,0.97,793.002141737335,0,1,69,85,,,,,,,,
,21-00,11.8,37,0.97,733.526981107035,0,1,69,85,,,,,,,,
,22-00,11.8,31,0.97,614.576659846434,0,1,66,88,,,,,,,,
,23-00,11.8,27,0.97,535.276445672701,0,1,66,88,,,,,,,,
,24-00,11.8,27,0.97,535.276445672701,0,1,66,88,,,,,,,,
01/13/2021,01-00,11.7,99,0.97,1946.04741689482,0,1,70,87,,,,,,,,
,02-00,11.7,99,0.97,1946.04741689482,0,1,70,87,,,,,,,,
,03-00,11.7,99,0.97,1946.04741689482,0,1,70,87,,,,,,,,
,04-00,11.6,108,0.97,2104.81585417062,0,1,76,63,,,,,,,,
,05-00,11.6,115,0.97,2241.23910397798,0,1,76,63,,,,,,,,
,06-00,11.5,193,0.97,3728.95816437715,0,1,76,63,,,,,,,,
,07-00,11.4,257,0.97,4922.32558233484,0,1,81,48,,,,,,,,
,08-00,11.4,280,0.97,5362.84499242706,0,1,81,48,,,,,,,,
,09-00,11.4,287,0.97,5496.91611723774,0,1,81,48,,,,,,,,
,10-00,11.4,287,0.97,5496.91611723774,0,1,84,32,,,,,,,,
,11-00,11.4,278,0.97,5324.53895676687,0,1,84,32,,,,,,,,
,12-00,11.5,253,0.97,4888.219769883,0,1,84,32,,,,,,,,
,13-00,11.5,243,0.97,4695.00950229869,0,1,82,71,,,,,,,,
,14-00,11.5,243,0.97,4695.00950229869,0,1,82,71,,,,,,,,
,15-00,11.5,237,0.97,4579.08334174811,0,1,82,71,,,,,,,,
,16-00,11.5,233,0.97,4501.79923471438,0,1,71,82,,,,,,,,
,17-00,11.8,192,0.97,3806.41028033921,0,1,71,82,,,,,,,,
,18-00,11.8,41,0.97,812.827195280768,0,1,71,82,,,,,,,,
,19-00,11.8,42,0.97,832.652248824202,0,1,69,88,,,,,,,,
,20-00,11.8,39,0.97,773.177088193901,0,1,69,88,,,,,,,,
,21-00,11.8,35,0.97,693.876874020168,0,1,69,88,,,,,,,,
,22-00,11.8,28,0.97,555.101499216134,0,1,64,86,,,,,,,,
,23-00,11.8,28,0.97,555.101499216134,0,1,64,86,,,,,,,,
,24-00,11.8,28,0.97,555.101499216134,0,1,64,86,,,,,,,,
01/14/2021,01-00,11.7,102,0.97,2005.01855074012,0,1,67,88,,,,,,,,
,02-00,11.7,102,0.97,2005.01855074012,0,1,67,88,,,,,,,,
,03-00,11.6,102,0.97,1987.88164005003,0,1,67,88,,,,,,,,
,04-00,11.6,102,0.97,1987.88164005003,0,1,80,45,,,,,,,,
,05-00,11.4,121,0.97,2317.51515744169,0,1,80,45,,,,,,,,
,06-00,11.3,181,0.97,3436.28661121901,0,1,80,45,,,,,,,,
,07-00,11.2,215,0.97,4045.65499428708,0,1,86,25,,,,,,,,
,08-00,11.3,243,0.97,4613.35716312828,0,1,86,25,,,,,,,,
,09-00,11.3,243,0.97,4613.35716312828,0,1,86,25,,,,,,,,
,10-00,11.3,266,0.97,5050.01236786882,0,1,83,26,,,,,,,,
,11-00,11.6,154,0.97,3001.31149576181,0,1,83,26,,,,1,,,,
,12-00,11.6,242,0.97,4716.34663619713,0,1,83,26,,,,,,,,
,13-00,11.5,244,0.97,4714.33052905712,0,1,72,67,,,,,,,,
,14-00,11.7,232,0.97,4560.43435070301,0,1,72,67,,,,,,,,
,15-00,11.4,230,0.97,4405.19410092223,0,1,72,67,,,,,,,,
,16-00,11.3,237,0.97,4499.4471097177,0,1,68,78,,,,,,,,
,17-00,11.3,229,0.97,4347.5670385036,0,1,68,78,,,,,,,,
,18-00,11.6,34,0.97,662.62721335001,0,1,68,78,,,,,,,,
,19-00,11.7,46,0.97,904.224052294563,0,1,68,87,,,,,,,,
,20-00,11.7,42,0.97,825.595873834166,0,1,68,87,,,,,,,,
,21-00,11.7,35,0.97,687.996561528471,0,1,68,87,,,,,,,,
,22-00,11.7,32,0.97,629.025427683174,0,1,62,87,,,,,,,,
,23-00,11.7,30,0.97,589.711338452976,0,1,62,87,,,,,,,,
,24-00,11.7,106,0.97,2083.64672920051,0,1,62,87,,,,,,,,
01/15/2021,01-00,11.7,106,0.97,2083.64672920051,0,1,66,79,,,,,,,,
,02-00,11.7,106,0.97,2083.64672920051,0,1,66,79,,,,,,,,
,03-00,11.7,106,0.97,2083.64672920051,0,1,66,79,,,,,,,,
,04-00,11.6,110,0.97,2143.79392554415,0,1,79,37,,,,,,,,
,05-00,11.5,140,0.97,2704.94374618032,0,1,79,37,,,,,,,,
,06-00,11.3,163,0.97,3094.55645098728,0,1,79,37,,,,,,,,
,07-00,11.4,220,0.97,4213.66392262126,0,1,86,29,,,,,,,,
,08-00,11.1,293,0.97,5464.15437621257,0,1,86,29,,,,,,,,
,09-00,11.1,287,0.97,5352.26042994201,0,1,86,29,,,,,,,,
,10-00,11.1,279,0.97,5203.06850158125,0,1,83,36,,,,,,,,
,11-00,11.4,261,0.97,4998.93765365522,0,1,83,36,,,,,,,,
,12-00,11.4,247,0.97,4730.79540403387,0,1,83,36,,,,,,,,
,13-00,11.5,224,0.97,4327.90999388851,0,1,70,66,,,,,,,,
,14-00,11.5,215,0.97,4154.02075306263,0,1,70,66,,,,,,,,
,15-00,11.6,218,0.97,4248.60977971477,0,1,70,66,,,,,,,,
,16-00,11.3,227,0.97,4309.59702070008,0,1,68,79,,,,,,,,
,17-00,11.9,200,0.97,3998.61249435351,0,1,68,79,,,,,,,,
,18-00,11.7,36,0.97,707.653606143571,0,1,68,79,,,,,,,,
